politician_name,ticker,est_trade_size,report_date,open_price,close_date,close_price,return_factor,running_return,running_stdev,running_rr_ratio,pct_trade_size
Earl Blumenauer,SYY,8000.0,2023-09-07,65.44352722167969,2023-09-22,64.9419937133789,0.992336392465493,1.0278546404347624,0.055233741523336446,18.60918004261019,0.05
Earl Blumenauer,NWN,8000.0,2023-09-07,35.43693161010742,2023-09-14,37.013519287109375,1.044489960201641,1.0310835720683325,0.05672935421463095,18.1754858017123,0.05
Ro Khanna,GPK,8000.0,2023-09-07,21.20413017272949,2023-09-20,22.213626861572266,1.0476084932802896,1.01095936034743,0.06673820953780583,15.148134289918914,0.05
Ro Khanna,BAX,8000.0,2023-09-07,37.18572616577149,2023-09-20,36.708621978759766,0.9871696955739192,1.0109258295762198,0.06675954038253035,15.142791933312338,0.05
Ro Khanna,BAX,8000.0,2023-09-07,37.18572616577149,2023-09-20,36.708621978759766,0.9871696955739192,1.010947584277687,0.06678625285094347,15.137061013648493,0.05
Ro Khanna,TGT,8000.0,2023-09-07,116.02422332763672,2023-09-22,104.96808624267578,0.9047083723737593,1.0108623274817006,0.06678493215225968,15.136083767773924,0.05
Ro Khanna,MSFT,8000.0,2023-09-07,325.5464172363281,2023-09-20,316.5271911621094,0.9722951149308109,1.0109693788594503,0.0668129965142886,15.13132820862547,0.05
Ro Khanna,GPK,8000.0,2023-09-07,21.20413017272949,2023-09-16,22.651479721069336,1.0682579071411886,1.0110048598355317,0.0668333818869793,15.127243770863238,0.05
Ro Khanna,EW,8000.0,2023-09-07,76.08999633789062,2023-09-10,74.87000274658203,0.983966439084962,1.0109522858710636,0.0668415350310319,15.124612045515082,0.05
Kevin Hern,TXN,8000.0,2023-09-08,155.0271453857422,2023-09-14,156.33580017089844,1.008441455732801,1.0111200054963008,0.0466489047467235,21.67510707884989,0.05
Kevin Hern,MMC,8000.0,2023-09-08,189.07888793945312,2023-09-14,192.75831604003903,1.0194597511159689,1.0111886862594675,0.04725667139062259,21.397797527908903,0.05
Kevin Hern,OKE,8000.0,2023-09-08,58.66059494018555,2023-09-13,60.68025588989258,1.034429602218771,1.0109710266579806,0.04787120187868636,21.118563708092193,0.05
Lloyd Doggett,PG,8000.0,2023-09-11,147.20408630371094,2023-09-15,145.9864959716797,0.9917285561657635,1.0083077718746976,0.02134933350534388,47.229004672315014,0.05
Jonathan Jackson,EME,8000.0,2023-09-12,218.7961883544922,2023-09-28,211.6038055419922,0.9671274766411975,1.0004612353963287,0.0471410537163794,21.222716857699623,0.05
Mitch McConnell,WFC,8000.0,2023-09-15,40.80561828613281,2023-10-01,37.63238143920898,0.9222352955254152,1.0115406482487639,0.052023569643832104,19.44389158940945,0.05
Tommy Tuberville,QCOM,175000.0,2023-09-15,109.00475311279295,2023-09-30,107.03932189941406,0.9819693072342895,0.9740691056116292,0.06003581522921028,16.224800177906108,0.05
Josh Gottheimer,NSC,8000.0,2023-09-18,194.95172119140625,2023-09-24,193.75791931152344,0.9938764229800735,1.0079716865507788,0.04005524114624748,25.164539213995205,0.05
Josh Gottheimer,NSC,8000.0,2023-09-18,194.95172119140625,2023-09-23,193.75791931152344,0.9938764229800735,1.0081820636189984,0.040319679987734135,25.0047139244583,0.05
Josh Gottheimer,META,8000.0,2023-09-18,300.8992614746094,2023-09-20,298.03497314453125,0.9904809060811876,1.0090358956369485,0.040571256265134734,24.870708687028564,0.05
Josh Gottheimer,MA,8000.0,2023-09-18,412.3084716796875,2023-09-21,398.6976013183594,0.9669886230911547,1.008398815749891,0.04058929436203112,24.843960251085036,0.05
Josh Gottheimer,REGN,8000.0,2023-09-18,820.990478515625,2023-09-20,828.070068359375,1.0086232301457991,1.0093258173487574,0.04082406120264107,24.72379737867579,0.05
Michael McCaul,PAYC,32500.0,2023-09-25,254.8633270263672,2023-09-30,256.560302734375,1.006658375403819,0.9988829493169804,0.04234174366682579,23.59097341802653,0.05
Michael McCaul,PAYC,32500.0,2023-09-25,254.8633270263672,2023-09-30,256.560302734375,1.006658375403819,0.9988027902851573,0.042554227094063174,23.471294357605718,0.05
Michael McCaul,FTNT,32500.0,2023-09-25,58.11000061035156,2023-09-30,58.630001068115234,1.0089485536448444,0.9987209612735045,0.042769938083793445,23.351003205027876,0.05
